gdp_usd,population,gdp_per_capita,inflation_rate,unemployment_rate,fdi_pct_gdp,co2_emissions_kt,energy_use_per_capita,renewable_energy_pct,forest_area_pct,electricity_access_pct,life_expectancy,child_mortality,school_enrollment_secondary,health_expenditure_pct_gdp,hospital_beds_per_1000,physicians_per_1000,calculated_gdp_per_capita,real_economic_growth_indicator,econ_opportunity_index,co2_emissions_per_capita_tons,green_transition_score,ecological_preservation_index,renewable_energy_efficiency,healthcare_capacity_index,digital_connectivity_index,health_development_ratio,is_pandemic_period,human_development_index,climate_vulnerability_index,digital_readiness_score,global_resilience_score
283952504751.698,398113044.0,713.245921054769,8.6014851485149,7.72484428642947,1.55812319145218,358460.646325123,733.421541788003,65.1324446480537,33.980631470599,20.0860066130196,51.2761288844047,137.544991422798,78.4523358518958,6.25242780112122,3.562050330745952,2.1491223110623943,713.2459210547696,82.9212524046403,256.62232166516776,0.9003991497578838,65.13244464723148,2.74239579764538,8.880628797630868,0.0,0.1367928915574422,0.3727953184917332,0,0.0751735580912789,0.2522173097033682,0.0121041358280531,0.1347327037659933
258843211433.203,408522129.0,633.608788994641,5.84035398311558,7.73294543364148,4.83776864507266,397075.660289217,738.822492531853,65.568144849022,38.9039800957902,23.1031784776438,51.6064582838941,132.129631363089,78.4523358518958,6.39062754963021,3.562050330745952,2.1491223110623943,633.6087889946422,108.48807980242282,227.84983584822163,0.9719807866007106,65.56814484801616,3.1502170842174197,8.874681741798103,0.0,0.1794705265456481,0.3905744514043244,0,0.0943267016039833,0.2388196876379694,0.0161889135790198,0.0674813475280247
264895032411.725,419223717.0,631.870339558401,8.76375164814544,7.9595818408506,2.50363689109838,409057.179215757,726.210303048516,64.5788543097796,38.7032073423792,24.2234301519858,52.0431492826438,126.463328482975,78.4523358518958,5.96941696607451,3.562050330745952,2.1491223110623943,631.870339558401,72.10043882201016,223.96638669828093,0.9757491349559236,64.57885430878235,3.1102272676823386,8.892583049109573,0.0,0.2247385870904808,0.4115275938640983,0,0.1147208896917407,0.241794845869603,0.0207444094756508,0.0662182471191987
352692089583.594,430246635.0,819.743981457504,7.44970014007364,7.78796507383304,2.4889721558258,434533.137679053,739.607835097683,64.1031447814253,38.5024345889681,25.0231841252266,52.5858533977139,120.834826519147,78.4523358518958,6.63566544900697,3.562050330745952,2.1491223110623943,819.7439814575051,110.03717814733425,293.74212962399383,1.0099628964653098,64.10314478063552,3.0826758461200945,8.667180327120105,0.0,0.2914441755877713,0.4351878917075397,0,0.1354019150897041,0.2434860515740165,0.0271470713065045,0.1469307403814693
438875574172.163,441630149.0,993.762711096436,5.02342068616284,7.31032819176143,1.86659607469035,466883.238780711,756.945359622382,63.2161804471189,37.8999507880458,26.1763357723345,53.2289134701853,115.404353804581,78.4523358518958,6.71073391960496,3.562050330745952,2.1491223110623943,993.7627110964362,197.82589856226545,367.5481654130249,1.0571815349062843,63.2161804464464,3.013372163258672,8.35148530121852,0.0,0.3694269597012256,0.4612383477344367,0,0.1558190612114844,0.2472096719120882,0.0350822800866392,0.1918342858967495
512259874365.035,453404076.0,1129.80871033245,8.55803802239772,7.11765820012593,2.06494492575271,468365.697902131,748.030663760704,62.5005964549218,37.701120258571,23.621498439778,53.96655013393,110.144859250492,78.4523358518958,6.52809759311679,3.562050330745952,2.1491223110623943,1129.8087103324474,132.01725762091314,423.4833639633633,1.0329984283205496,62.50059645435034,2.980549480930482,8.355352191139028,0.0,0.4786614011933986,0.4899597720779596,0,0.176039159110987,0.249495708216268,0.0507886558559536,0.2318040091829446
575976209979.202,465581372.0,1237.11180175654,8.89816380214033,6.98947687278823,1.27159863087906,476590.299877129,742.246409543133,62.2014196406444,37.5024645341982,27.2994330458403,54.7917066462486,105.20671256049,78.4523358518958,6.49250598661912,0.911870801822378,2.1491223110623943,1237.1118017565402,139.03000992844952,467.9361676212165,1.0236455505722617,62.20141964012972,2.9577397461897195,8.380157699776625,0.0,0.599076028268483,0.5208004823337234,0,0.1955385920005245,0.2507402895628935,0.066683893762568,0.2564494602124638
661242216575.303,478166911.0,1382.86903874723,8.45077480634995,6.73876522153116,2.47968449984832,500147.184546258,755.764359885741,61.4185085142526,37.3038801747529,28.737952342644,55.6823435005197,100.220993927658,78.4523358518958,6.46848278710323,3.562050330745952,2.1491223110623943,1382.8690387472316,163.63813619884132,532.7100502055504,1.0459677845551676,61.41850851378805,2.923503649743497,8.126674367594955,0.0,0.8001071142528785,0.5555956024614223,0,0.2154492300995697,0.2531940282774862,0.0865466879452645,0.2783047517963034
708354291357.645,491173160.0,1442.16815788071,12.5666446595157,6.27197723559034,3.24391458374414,533634.514562978,780.17236984834,61.8989052783575,37.1052593945196,28.813735402838,56.6097989195142,95.3305364449888,78.4523358518958,6.2996430629496,3.562050330745952,2.1491223110623943,1442.1681578807054,114.76159284799007,575.8556943305421,1.0864488494505236,61.8989052778912,2.91928809460479,7.9340037753952,0.0,0.8708292401112625,0.5938265012510582,0,0.2351884490661214,0.2524895883178072,0.1065309980098994,0.281154514521786
712557951490.059,504604672.0,1412.11128439583,8.95421802392944,6.32390919245746,2.63668363103787,515682.543832365,766.243658016489,61.2525540915309,36.90659570026,27.4830612476805,57.5487718622889,90.5094232976957,78.4523358518958,6.88625114615227,3.562050330745952,2.1491223110623943,1412.111284395835,157.703473449281,561.5340695157134,1.021953565725933,61.2525540910876,2.888458209816995,7.993874200550027,0.0,1.0285118455696924,0.6358318257426577,0,0.2547435468182552,0.2546021255205227,0.124113556999463,0.2914516023281191
